Time,cAMP__1_1_,cAMP__2_1_,cAMP__2_2_,cAMP__2_3_,cAMP__3_1_,cAMP__3_2_,cAMP__3_3_
  0.000000,       100,         0,         0,         0,         0,         0,         0
  0.010000,99.70059905068473,0.09965081619303004,0.09965081619303004,0.09965081619303004,0.0001495002453903857,0.0001495002453903857,0.0001495002453903857
  0.020000,99.40239242964941,0.1986065033938685,0.1986065033938685,0.1986065033938685,0.0005960200563304197,0.0005960200563304197,0.0005960200563304197
  0.030000,99.10537447304769,0.2968719208472941,0.2968719208472941,0.2968719208472941,0.001336588136784505,0.001336588136784505,0.001336588136784505
  0.040000,98.80953955315346,0.3944518894132827,0.3944518894132827,0.3944518894132827,0.002368259535517841,0.002368259535517841,0.002368259535517841
  0.050000,98.51488208128335,0.4913511894305183,0.4913511894305183,0.4913511894305183,0.003688116808309734,0.003688116808309734,0.003688116808309734
  0.060000,98.22139650213191,0.5875745657891202,0.5875745657891202,0.5875745657891202,0.005293266833511751,0.005293266833511751,0.005293266833511751
  0.070000,97.92907728196674,0.6831267384827004,0.6831267384827004,0.6831267384827004,0.007180834195000641,0.007180834195000641,0.007180834195000641
  0.080000,97.63791890337255,0.7780124073477747,0.7780124073477747,0.7780124073477747,0.009347958194661415,0.009347958194661415,0.009347958194661415
  0.090000,97.34791592303637,0.8722362006630558,0.8722362006630558,0.8722362006630558,0.01179182499140904,0.01179182499140904,0.01179182499140904
  0.100000,97.05906285098268,0.965802782794618,0.965802782794618,0.965802782794618,0.0145096002108952,0.0145096002108952,0.0145096002108952
  0.110000,96.77135437728616,1.058716652284307,1.058716652284307,1.058716652284307,0.01749855528631143,0.01749855528631143,0.01749855528631143
  0.120000,96.48478504573795,1.15098243266476,1.15098243266476,1.15098243266476,0.02075588542138586,0.02075588542138586,0.02075588542138586
  0.130000,96.19934960808889,1.242604556906573,1.242604556906573,1.242604556906573,0.02427890706195965,0.02427890706195965,0.02427890706195965
  0.140000,95.91504269509333,1.333587560539051,1.333587560539051,1.333587560539051,0.02806487442729982,0.02806487442729982,0.02806487442729982
  0.150000,95.63185904593668,1.423935877346617,1.423935877346617,1.423935877346617,0.03211110733800012,0.03211110733800012,0.03211110733800012
  0.160000,95.3497933943534,1.513653940798808,1.513653940798808,1.513653940798808,0.03641492774636125,0.03641492774636125,0.03641492774636125
  0.170000,95.06884049143486,1.602746163856946,1.602746163856946,1.602746163856946,0.04097367232731005,0.04097367232731005,0.04097367232731005
  0.180000,94.78899516937751,1.691216882190152,1.691216882190152,1.691216882190152,0.04578472801300511,0.04578472801300511,0.04578472801300511
  0.190000,94.51025227575528,1.779070412805121,1.779070412805121,1.779070412805121,0.05084549527217658,0.05084549527217658,0.05084549527217658
  0.200000,94.23260663776632,1.866311085970595,1.866311085970595,1.866311085970595,0.05615336810327935,0.05615336810327935,0.05615336810327935
  0.210000,93.95605309386622,1.95294321707669,1.95294321707669,1.95294321707669,0.06170575163089344,0.06170575163089344,0.06170575163089344
  0.220000,93.68058653400124,2.038971070839112,2.038971070839112,2.038971070839112,0.06750008449070323,0.06750008449070323,0.06750008449070323
  0.230000,93.40620215294376,2.124398635599876,2.124398635599876,2.124398635599876,0.07353398008535796,0.07353398008535796,0.07353398008535796
  0.240000,93.132894740871,2.209230255569492,2.209230255569492,2.209230255569492,0.07980483081147026,0.07980483081147026,0.07980483081147026
  0.250000,92.86065922618134,2.293470147162316,2.293470147162316,2.293470147162316,0.0863101107890209,0.0863101107890209,0.0863101107890209
  0.260000,92.58949052304888,2.377122534900872,2.377122534900872,2.377122534900872,0.09304729077127462,0.09304729077127462,0.09304729077127462
  0.270000,92.31938389254897,2.460191329511752,2.460191329511752,2.460191329511752,0.1000140396723877,0.1000140396723877,0.1000140396723877
  0.280000,92.05033446073651,2.54268055762819,2.54268055762819,2.54268055762819,0.1072079555070222,0.1072079555070222,0.1072079555070222
  0.290000,91.78233716642568,2.624594408398504,2.624594408398504,2.624594408398504,0.1146265361887897,0.1146265361887897,0.1146265361887897
  0.300000,91.51538707242742,2.705936956059134,2.705936956059134,2.705936956059134,0.1222673532103085,0.1222673532103085,0.1222673532103085
  0.310000,91.24947928263163,2.786712233896055,2.786712233896055,2.786712233896055,0.1301280053215788,0.1301280053215788,0.1301280053215788
  0.320000,90.98460925748539,2.866923952914386,2.866923952914386,2.866923952914386,0.1382062947026036,0.1382062947026036,0.1382062947026036
  0.330000,90.72077203740901,2.946576194540218,2.946576194540218,2.946576194540218,0.1464997931188782,0.1464997931188782,0.1464997931188782
